animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed	enterotype	dmm
CC18.05	CC	CC18	7	7	2019-09-17	163.1	FALSE	FALSE	FALSE	probiotic	Male	Ross	standard	1
CC18.06	CC	CC18	7	7	2019-09-17	212.1	FALSE	FALSE	FALSE	probiotic	Male	Ross	standard	1
CC19.02	CC	CC19	6	7	2019-09-16	177.9	FALSE	FALSE	FALSE	control	Male	Ross	distinct	2
CC19.03	CC	CC19	6	7	2019-09-16	198.2	FALSE	FALSE	FALSE	control	Male	Ross	distinct	2
CC19.05	CC	CC19	7	7	2019-09-17	189.1	FALSE	FALSE	FALSE	control	Male	Ross	distinct	2
CC20.02	CC	CC20	6	7	2019-09-16	172.5	FALSE	FALSE	FALSE	control	Female	Cobb	standard	1
CC20.05	CC	CC20	7	7	2019-09-17	213.6	NA	NA	NA	control	Female	Cobb	standard	1
CC20.06	CC	CC20	7	7	2019-09-17	191.3	NA	NA	NA	control	Female	Cobb	standard	1
CC21.03	CC	CC21	6	7	2019-09-16	165.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CC21.05	CC	CC21	7	7	2019-09-17	219.9	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CC21.06	CC	CC21	7	7	2019-09-17	233.8	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CC22.01	CC	CC22	6	7	2019-09-16	166.1	FALSE	FALSE	FALSE	control	Female	Ross	distinct	2
CC22.04	CC	CC22	7	7	2019-09-17	181.5	FALSE	FALSE	FALSE	control	Female	Ross	distinct	2
CC22.06	CC	CC22	7	7	2019-09-17	188.8	NA	NA	NA	control	Female	Ross	distinct	2
CC23.01	CC	CC23	6	7	2019-09-16	187.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	distinct	2
CC23.02	CC	CC23	6	7	2019-09-16	199.7	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	distinct	2
CC23.04	CC	CC23	7	7	2019-09-17	233.2	TRUE	TRUE	FALSE	phytobiotic	Male	Cobb	distinct	2
CC24.03	CC	CC24	6	7	2019-09-16	188.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CC24.05	CC	CC24	7	7	2019-09-17	224.9	NA	NA	NA	phytobiotic	Female	Ross	standard	1
