animal_code	chicken_body_weight	crp_pg_ml	pit54_ng_ml	lps_ng_l	cor_pg_mg
CA23.13	2346.6	0.75	0	52.54	20.36
CA23.14	1923.4	0.8	74.28	41.44	14.9
CA23.15	1986.2	0.74	0	47.85	16.54
CA23.16	2491.2	0.85	0	48.43	17.66
CA23.17	2317.4	0.88	315.09	55.54	19.66
CA23.18	2327.4	2.09	79.4	51.95	19.89
CA24.01	180	3.29	36.18	8.2	8.85
CA24.02	196.8	0	35.69	6.76	7.55
CA24.03	186.4	0	34.19	15.46	11.86
CA24.04	185.2	0.03	44.07	6.76	24.07
CA24.05	171.6	0.41	32.61	8.09	35.72
CA24.06	191.4	0.11	34.92	14.88	30.77
CA24.07	870.4	0.65	53.04	16.45	18.46
CA24.08	892.8	0.56	49.28	14.75	14.9
CA24.09	807.8	0.83	68	16.45	12.86
CA24.10	769.6	0.57	47.76	15.5	12.82
CA24.11	953.8	0.66	60.37	15.33	15.83
CA24.12	1019.2	0.7	97.07	15.5	13.26
CA24.13	1711.2	0.78	0.09	41.58	14.44
CA24.14	1962	1.12	50.49	49.59	20.39
CA24.15	2041.8	0.68	96.61	47.12	14.6
CA24.16	1940.2	0.68	12.39	47.85	11.38
CA24.17	2106.2	0.97	0	46.83	11.99
CA24.18	2019.2	1.56	0	43.41	24.72
CB01.01	172.8	4.43	7.93	51.51	18.31
CB01.02	159	9.49	7.19	51.06	27.4
CB01.03	209.7	7.85	561.55	41.86	44.6
CB01.04	196.7	4.21	0	49.62	6.64
CB01.05	230.3	2.68	284.43	43.23	5.64
CB01.06	215.2	2.31	0	43.95	5.24
CB01.07	1000	0.76	41.51	36.7	18.27
CB01.08	1000	0.92	36.5	37.71	8.13
CB01.09	950	0.49	80.12	35.2	19.47
CB01.10	1045.3	0.89	42.35	37.33	7.98
CB01.11	1080.4	0.79	238.48	29.61	17.74
CB01.12	984.3	0.85	46.05	30.81	14.68
CB01.13	2305.3	0	74.63	15.08	8.51
CB01.14	2114.5	0	67.75	8.51	6.62
CB01.15	2077.3	0.09	50.65	45.95	6.7
CB01.16	2169.2	0.49	8.57	39.22	10.46
CB01.17	2371.6	0	4.05	61.39	7.37
CB01.18	1931.7	0.85	184.97	41.81	8.87
CB02.01	174.6	4.78	67.58	42	14.77
CB02.02	177.4	4.68	158.93	49.89	23.96
CB02.03	166.3	3.36	0	47.99	11.99
CB02.04	202.9	1.96	80.99	44.07	8.41
CB02.05	202.9	2.64	0	43.11	6.52
CB02.06	199.6	4.51	0	40.5	8.07
CB02.07	776	0.93	89.55	35.45	7.23
CB02.08	1018.8	0.03	20.84	34.46	8.76
CB02.09	851.7	0.44	26.3	36.45	8.32
CB02.10	1077.8	0	36.12	28.66	8.84
CB02.11	1103.6	0.85	30.72	36.82	6.08
CB02.12	717	0.23	29.68	33.6	12.81
CB02.13	2212.6	0	65.42	7.85	13.02
CB02.14	2158.6	0	458.2	9.11	8.99
CB02.15	1903.6	0.93	255.38	43.12	8.41
CB02.16	2483.1	0.93	7.69	48.49	12.03
CB02.17	2384	0.89	313.81	48.15	6.75
CB02.18	2636.3	0.16	20.17	61.58	15.95
CB03.01	167.1	8.95	140.1	54.19	12.48
CB03.02	180	3.66	61.15	43.13	12.45
CB03.03	156.5	9.1	1948.12	50.03	8.72
CB03.04	196.8	3.14	0	41.8	6.17
CB03.05	226.2	7.6	2.86	43.95	8.9
CB03.06	215.7	3.49	267.95	50.12	8.01
CB03.07	821.7	0.93	20.98	38.08	11.7
CB03.08	1011.9	0	64.32	36.45	46.24
CB03.09	1057.5	0.74	53.76	35.57	67.32
CB03.10	1045.7	0	21.1	43.9	20.22
CB03.11	1195.3	0	118.22	32.86	11.68
CB03.12	704.2	0.65	75.46	8.85	27.86
CB03.13	2424.3	0	379.52	12.44	11.42
CB03.14	2700.5	0	66.35	12.63	17.68
CB03.15	2443.5	0.6	121.29	41.97	6.9
CB03.16	2547	0.72	179.54	46.45	12.17
CB03.17	2058.2	1.25	243.97	44.95	7.06
CB03.18	2616.2	0	345.31	61.39	10.29
CB04.01	177.4	6.72	0	47.99	14.39
CB04.02	192.5	4.07	4.23	49.3	9.59
CB04.03	168.7	5.32	66.49	43.27	9.08
CB04.04	179.3	3.16	28.88	46.76	4.96
CB04.05	193.4	3.15	236.75	47.62	4.71
CB04.06	207.9	5.17	491.07	47.62	6.11
CB04.07	930.3	0.55	41.57	34.09	4.41
CB04.08	1060.3	0.25	51.84	31.29	6.51
CB04.09	769.9	0.45	96.78	32.01	6.98
CB04.10	1031.2	0	66.54	6.88	8.45
CB04.11	958.3	0.65	76.65	5.71	8.94
CB04.12	980.7	0	136.34	5.18	7.38
CB04.13	2020.01	0	100.05	9.45	9.62
CB04.14	2065.6	0	71.66	10.6	10.52
CB04.15	1701.5	0.6	4.49	43.45	11.22
CB04.16	2060.9	0.49	12.42	41.32	8.09
CB04.17	2286.5	0.22	421.74	44.11	10.43
CB04.18	1964	0	76.18	39.38	7.42
CB05.01	152	2.39	41.72	48.43	11.39
CB05.02	172.5	2.69	377.38	57.21	9.71
CB05.03	170	4.77	72.49	56.6	10.52
CB05.04	162.8	1.73	184.94	44.44	6.57
CB05.05	182.2	2.23	0	44.68	4.51
CB05.06	228.3	3.99	12.08	47.5	6.32
CB05.07	1030.9	0.81	27.15	31.29	6.42
CB05.08	933.5	0.71	39.26	30.81	9.64
CB05.09	837.7	0.38	27.36	37.45	11.12
CB05.10	1034.2	0	65.41	7.04	7.49
CB05.11	859.6	0	65.32	6.25	7.05
CB05.12	1007.8	0.43	65.67	7.68	10.9
CB05.13	1823	0	81.02	17.46	13.17
CB05.14	1760.8	0	68.76	10.33	12.94
CB05.15	1864.3	0.17	15.23	40.99	9.71
CB05.16	2104.3	0.68	72.76	38.09	7.73
CB05.17	2250.5	0	106.34	47.64	5.35
CB05.18	2123	0	26.1	42.14	3.15
CB06.01	189.4	6.82	53.42	50.18	6.48
CB06.02	169.7	9.16	0	55.69	6.55
CB06.03	159.2	2.84	82.46	49.3	9.95
CB06.04	182.5	4.66	256.91	44.68	10.01
CB06.05	195.8	4.34	325.09	49.49	7.96
CB06.06	198.6	1.92	252.15	48.99	7.78
CB06.07	1112.2	0.93	24.35	34.21	5.53
CB06.08	954.1	0.85	21.89	33.48	9.49
CB06.09	902.3	0.8	39.31	30.81	8.97
CB06.10	966.1	0	78.69	8.26	8.35
CB06.11	1059.3	1.03	82.66	9.28	10.18
CB06.12	1054.7	0	81.61	9.19	14.49
CB06.13	1875.1	0	82.81	9.89	7.88
CB06.14	2252.6	0	82.54	14.98	7.92
CB06.15	2119.4	0.02	56.84	49	11.72
CB06.16	2099.6	0	7.99	54.38	5.42
CB06.17	2434.2	0	123.2	46.96	8
CB06.18	2238	0	19.12	46.45	9.24
