animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed
CA13.01	CA	CA13	7	7	2019-02-11	172.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.02	CA	CA13	7	7	2019-02-11	171	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.03	CA	CA13	8	7	2019-02-12	218.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.04	CA	CA13	8	7	2019-02-12	207.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.05	CA	CA13	8	7	2019-02-12	203.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.06	CA	CA13	7	7	2019-02-11	166.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.07	CA	CA13	21	21	2019-02-25	1008.2	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.08	CA	CA13	21	21	2019-02-25	1090.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.09	CA	CA13	21	21	2019-02-25	1047.2	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.10	CA	CA13	22	21	2019-02-26	1054.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.11	CA	CA13	22	21	2019-02-26	1057.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.12	CA	CA13	22	21	2019-02-26	820.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.13	CA	CA13	35	35	2019-03-11	2230.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.14	CA	CA13	35	35	2019-03-11	2911.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.15	CA	CA13	36	35	2019-03-12	2317	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.16	CA	CA13	36	35	2019-03-12	3134.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.17	CA	CA13	37	35	2019-03-13	2378	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
CA13.18	CA	CA13	37	35	2019-03-13	2402.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb
